Original_Index,Noisy_Label,Noisy_Class,Suggested_Label,Suggested_Class,Confidence_Score,Action_Pruned_Models,Action_Corrected_Models
4973,4,deer,3,cat,0.38884744,REMOVED,FIXED → Suggested_Class
29422,5,dog,3,cat,0.390980899,REMOVED,FIXED → Suggested_Class
5393,5,dog,3,cat,0.393058002,REMOVED,FIXED → Suggested_Class
13204,3,cat,5,dog,0.397252083,REMOVED,FIXED → Suggested_Class
21780,5,dog,3,cat,0.400314033,REMOVED,FIXED → Suggested_Class
16566,5,dog,3,cat,0.404117435,REMOVED,FIXED → Suggested_Class
29482,5,dog,3,cat,0.411291629,REMOVED,FIXED → Suggested_Class
9174,5,dog,3,cat,0.418406069,REMOVED,FIXED → Suggested_Class
9804,5,dog,3,cat,0.419320762,REMOVED,FIXED → Suggested_Class
24174,3,cat,5,dog,0.429971576,REMOVED,FIXED → Suggested_Class
34057,5,dog,3,cat,0.43469125,REMOVED,FIXED → Suggested_Class
30013,3,cat,5,dog,0.441008329,REMOVED,FIXED → Suggested_Class
31716,5,dog,3,cat,0.445470184,REMOVED,FIXED → Suggested_Class
11078,0,airplane,3,cat,0.44592768,REMOVED,FIXED → Suggested_Class
15251,3,cat,5,dog,0.451261878,REMOVED,FIXED → Suggested_Class
3189,4,deer,3,cat,0.451772034,REMOVED,FIXED → Suggested_Class
31960,5,dog,3,cat,0.453193307,REMOVED,FIXED → Suggested_Class
27383,5,dog,3,cat,0.453929931,REMOVED,FIXED → Suggested_Class
20593,3,cat,2,bird,0.456998616,REMOVED,FIXED → Suggested_Class
13406,8,ship,3,cat,0.460530281,REMOVED,FIXED → Suggested_Class
39634,3,cat,5,dog,0.465632766,REMOVED,FIXED → Suggested_Class
370,3,cat,5,dog,0.466317445,REMOVED,FIXED → Suggested_Class
44110,3,cat,4,deer,0.467371762,REMOVED,FIXED → Suggested_Class
18028,4,deer,3,cat,0.468036234,REMOVED,FIXED → Suggested_Class
48495,5,dog,3,cat,0.47062552,REMOVED,FIXED → Suggested_Class
38728,4,deer,3,cat,0.472003669,REMOVED,FIXED → Suggested_Class
21250,3,cat,5,dog,0.473124862,REMOVED,FIXED → Suggested_Class
46877,2,bird,3,cat,0.476183891,REMOVED,FIXED → Suggested_Class
5874,0,airplane,3,cat,0.477275252,REMOVED,FIXED → Suggested_Class
49839,3,cat,5,dog,0.480962366,REMOVED,FIXED → Suggested_Class
1722,6,frog,3,cat,0.481024325,REMOVED,FIXED → Suggested_Class
35634,4,deer,3,cat,0.482008159,REMOVED,FIXED → Suggested_Class
16560,5,dog,3,cat,0.485489935,REMOVED,FIXED → Suggested_Class
13005,4,deer,3,cat,0.487256914,REMOVED,FIXED → Suggested_Class
48015,2,bird,3,cat,0.487429678,REMOVED,FIXED → Suggested_Class
27980,2,bird,5,dog,0.488313109,REMOVED,FIXED → Suggested_Class
32208,7,horse,4,deer,0.489282995,REMOVED,FIXED → Suggested_Class
40940,5,dog,3,cat,0.48973763,REMOVED,FIXED → Suggested_Class
3282,5,dog,3,cat,0.492575496,REMOVED,FIXED → Suggested_Class
40471,5,dog,3,cat,0.492794365,REMOVED,FIXED → Suggested_Class
36222,3,cat,5,dog,0.49520883,REMOVED,FIXED → Suggested_Class
6868,3,cat,5,dog,0.498581856,REMOVED,FIXED → Suggested_Class
23620,7,horse,3,cat,0.500129282,REMOVED,FIXED → Suggested_Class
26336,3,cat,5,dog,0.500190258,REMOVED,FIXED → Suggested_Class
11364,3,cat,5,dog,0.500619531,REMOVED,FIXED → Suggested_Class
19223,2,bird,3,cat,0.501205206,REMOVED,FIXED → Suggested_Class
44142,3,cat,5,dog,0.502595425,REMOVED,FIXED → Suggested_Class
8742,5,dog,3,cat,0.502742767,REMOVED,FIXED → Suggested_Class
26367,4,deer,3,cat,0.503177285,REMOVED,FIXED → Suggested_Class
24662,5,dog,3,cat,0.505581796,REMOVED,FIXED → Suggested_Class
47756,6,frog,3,cat,0.505811453,REMOVED,FIXED → Suggested_Class
10025,6,frog,4,deer,0.506029725,REMOVED,FIXED → Suggested_Class
36506,0,airplane,2,bird,0.509284079,REMOVED,FIXED → Suggested_Class
7964,6,frog,5,dog,0.51107347,REMOVED,FIXED → Suggested_Class
9909,3,cat,5,dog,0.513762593,REMOVED,FIXED → Suggested_Class
44809,9,truck,3,cat,0.514625967,REMOVED,FIXED → Suggested_Class
48537,5,dog,3,cat,0.51471144,REMOVED,FIXED → Suggested_Class
9904,3,cat,5,dog,0.515997648,REMOVED,FIXED → Suggested_Class
45191,3,cat,5,dog,0.516345739,REMOVED,FIXED → Suggested_Class
25955,4,deer,7,horse,0.518234074,REMOVED,FIXED → Suggested_Class
9907,4,deer,3,cat,0.519126892,REMOVED,FIXED → Suggested_Class
32541,3,cat,5,dog,0.519154251,REMOVED,FIXED → Suggested_Class
32216,5,dog,3,cat,0.521297455,REMOVED,FIXED → Suggested_Class
30996,7,horse,3,cat,0.521652699,REMOVED,FIXED → Suggested_Class
23967,5,dog,3,cat,0.522503018,REMOVED,FIXED → Suggested_Class
27505,7,horse,5,dog,0.522750139,REMOVED,FIXED → Suggested_Class
45941,5,dog,3,cat,0.522856176,REMOVED,FIXED → Suggested_Class
1510,3,cat,5,dog,0.52385056,REMOVED,FIXED → Suggested_Class
3117,2,bird,5,dog,0.523903489,REMOVED,FIXED → Suggested_Class
30548,7,horse,3,cat,0.525093496,REMOVED,FIXED → Suggested_Class
5680,6,frog,3,cat,0.525606573,REMOVED,FIXED → Suggested_Class
17164,3,cat,2,bird,0.526704311,REMOVED,FIXED → Suggested_Class
37626,2,bird,5,dog,0.532184124,REMOVED,FIXED → Suggested_Class
