Original_Index,Noisy_Label,Noisy_Class,Suggested_Label,Suggested_Class,Confidence_Score,Action_Pruned_Models,Action_Corrected_Models
26960,0,airplane,3,cat,0.275750577,REMOVED,FIXED → Suggested_Class
29298,0,airplane,7,horse,0.294495851,REMOVED,FIXED → Suggested_Class
24113,0,airplane,2,bird,0.350898296,REMOVED,FIXED → Suggested_Class
17971,5,dog,3,cat,0.356710285,REMOVED,FIXED → Suggested_Class
28664,0,airplane,2,bird,0.358547658,REMOVED,FIXED → Suggested_Class
34363,0,airplane,6,frog,0.369599044,REMOVED,FIXED → Suggested_Class
33975,0,airplane,4,deer,0.370752007,REMOVED,FIXED → Suggested_Class
39228,5,dog,3,cat,0.371971756,REMOVED,FIXED → Suggested_Class
35874,0,airplane,4,deer,0.373199373,REMOVED,FIXED → Suggested_Class
9798,2,bird,8,ship,0.390162885,REMOVED,FIXED → Suggested_Class
39384,3,cat,2,bird,0.391500533,REMOVED,FIXED → Suggested_Class
26501,5,dog,3,cat,0.399843276,REMOVED,FIXED → Suggested_Class
15638,0,airplane,5,dog,0.400751084,REMOVED,FIXED → Suggested_Class
29897,2,bird,0,airplane,0.402842849,REMOVED,FIXED → Suggested_Class
20577,3,cat,5,dog,0.403602749,REMOVED,FIXED → Suggested_Class
42054,5,dog,0,airplane,0.406146497,REMOVED,FIXED → Suggested_Class
40114,5,dog,3,cat,0.407712668,REMOVED,FIXED → Suggested_Class
10665,6,frog,2,bird,0.411236674,REMOVED,FIXED → Suggested_Class
15347,5,dog,3,cat,0.411358595,REMOVED,FIXED → Suggested_Class
14001,5,dog,7,horse,0.412331611,REMOVED,FIXED → Suggested_Class
34268,0,airplane,2,bird,0.412456125,REMOVED,FIXED → Suggested_Class
3879,4,deer,2,bird,0.414656758,REMOVED,FIXED → Suggested_Class
49858,0,airplane,7,horse,0.41608718,REMOVED,FIXED → Suggested_Class
12469,0,airplane,2,bird,0.422573239,REMOVED,FIXED → Suggested_Class
27253,0,airplane,2,bird,0.423818529,REMOVED,FIXED → Suggested_Class
19536,0,airplane,2,bird,0.425575376,REMOVED,FIXED → Suggested_Class
35452,5,dog,7,horse,0.427853763,REMOVED,FIXED → Suggested_Class
7478,3,cat,2,bird,0.428195685,REMOVED,FIXED → Suggested_Class
21697,3,cat,4,deer,0.429072738,REMOVED,FIXED → Suggested_Class
4703,2,bird,0,airplane,0.429288238,REMOVED,FIXED → Suggested_Class
16533,1,automobile,9,truck,0.430902451,REMOVED,FIXED → Suggested_Class
21602,0,airplane,2,bird,0.432914913,REMOVED,FIXED → Suggested_Class
7116,2,bird,0,airplane,0.436513901,REMOVED,FIXED → Suggested_Class
25861,2,bird,7,horse,0.43671447,REMOVED,FIXED → Suggested_Class
11989,0,airplane,2,bird,0.439198047,REMOVED,FIXED → Suggested_Class
1767,1,automobile,9,truck,0.441336989,REMOVED,FIXED → Suggested_Class
46234,4,deer,2,bird,0.447770029,REMOVED,FIXED → Suggested_Class
9213,1,automobile,9,truck,0.448175848,REMOVED,FIXED → Suggested_Class
20131,3,cat,4,deer,0.449902177,REMOVED,FIXED → Suggested_Class
1768,0,airplane,4,deer,0.45033747,REMOVED,FIXED → Suggested_Class
37349,1,automobile,9,truck,0.450420499,REMOVED,FIXED → Suggested_Class
2894,0,airplane,6,frog,0.451315761,REMOVED,FIXED → Suggested_Class
16002,0,airplane,5,dog,0.451464504,REMOVED,FIXED → Suggested_Class
31484,4,deer,2,bird,0.45286867,REMOVED,FIXED → Suggested_Class
13788,8,ship,2,bird,0.453137815,REMOVED,FIXED → Suggested_Class
18472,5,dog,4,deer,0.453745991,REMOVED,FIXED → Suggested_Class
34748,0,airplane,2,bird,0.456686974,REMOVED,FIXED → Suggested_Class
2387,0,airplane,2,bird,0.458371073,REMOVED,FIXED → Suggested_Class
5871,0,airplane,2,bird,0.459253967,REMOVED,FIXED → Suggested_Class
46141,3,cat,2,bird,0.459348321,REMOVED,FIXED → Suggested_Class
33959,4,deer,2,bird,0.461202413,REMOVED,FIXED → Suggested_Class
1163,0,airplane,3,cat,0.461758196,REMOVED,FIXED → Suggested_Class
23056,0,airplane,2,bird,0.463093758,REMOVED,FIXED → Suggested_Class
8780,0,airplane,2,bird,0.46508202,REMOVED,FIXED → Suggested_Class
18766,4,deer,3,cat,0.465433061,REMOVED,FIXED → Suggested_Class
6835,1,automobile,9,truck,0.466065675,REMOVED,FIXED → Suggested_Class
